imo_code,name,definition,format
IMO0646,Boiler electricity consumption,"Boiler electricity consumption, measured in kilowatt hours since last reporting.","n..16,1"
IMO0647,Generator production,"The measure of the production of a generator not used for propulsion, in kilowatt hours since last reporting.","n..16,1"
IMO0648,Offset electricity consumption,"The permitted quantity of electricity consumption during report duration which can be used to offset/correct emissions calculations, measured in kilowatt hours.","n..16,1"
IMO0649,Power consumption for plant,"Power consumption from generator used for re-liquification, related to the plant (cooling of cargo), measured in kilowatt hours since last reporting.","n..16,1"
IMO0650,"Total numbers of containers, TEU","The total number of containers onboard (full and empty), measured in TEU (Twenty-Foot Equivalent Unit).",n..5
IMO0651,"Total number of full containers, TEU","The total number of full containers onboard, measured in TEU (Twenty-Foot Equivalent Unit).",n..5
IMO0652,"Total number of full reefer containers in use, TEU","The total number of full reefer containers onboard in use, measured in TEU (Twenty-Foot Equivalent Unit).",n..5
IMO0653,"Total number of vehicles onboard, CEU","The total number of vehicles onboard, measured in CEU (Car Equivalent Unit).",n..5
IMO0654,"Fuel type, coded",A code representing the type of bunkered fuel.,n..10
IMO0655,Bunker delivery note number,"The identification number of the Bunker Delivery Note (BDN), associated to the fuel provided.",an..70
IMO0656,Bunker delivery date time,"The date and time as given in the BDN, e.g., the time when all fuel has been received.",an..35
IMO0657,Fuel bunker received,"The amount of fuel received during bunkering, measured in metric tons.","n..6,1"
IMO0658,"Fuel, mass","Mass of fuel, measured in metric tonnes.","n..16,6"
IMO0659,"Fuel, density","Density of fuel at 15 degrees Celsius, measured in metric tons per cubic meter.",n..10
IMO0660,"Fuel, sulphur content","Sulphur content in fuel, measured in percentage per millimeter (% m/m).",n..10
IMO0661,"Fuel, viscosity","Viscosity of fuel, measured in centistoke (cSt).",n..10
IMO0662,"Fuel, water content","Water content of fuel, measured in percentage in % Volume/Volume.",n..10
IMO0663,"Fuel, higher heating value","Higher heating value of the fuel (calorific value), measured in megajoules per kilogram.",n..10
IMO0664,"Fuel, lower heating value","Lower heating value of the fuel (calorific value), measured in megajoules per kilogram.",n..10
IMO0665,"Fuel grade, coded","Information referring to the fuel grade, quality and composition.",n..10
IMO0666,"Fuel bunker port, coded","A code representing the port where the fuel is to be bunkered, according to a bunker delivery note.",an5
IMO0667,"Fuel bunker port, name","The name and country of the port where the fuel is to be bunkered, according to a bunker delivery note.",an..256
IMO0668,Fuel Carbon Dioxide emission,"Carbon Dioxide (CO2) emission, expressed in emissions per metric per gram (gCO2/g).","n..4,1"
IMO0669,Total fuel quantity consumed,"Total fuel consumed, measured in metric tons since last reporting.","n..4,1"
IMO0670,"Fuel consumed, by Main Engine","Fuel consumed by Main Engine, measured in metric tons since last reporting.","n..4,1"
IMO0671,Fuel consumed by Diesel Electric Propulsion,"Fuel consumed by diesel electric propulsion, measured in metric tons since last reporting.","n..4,1"
IMO0672,"Fuel consumed, by Diesel Generator","Fuel consumed by Diesel Generator, measured in metric tons since last reporting.","n..4,1"
IMO0673,"Fuel consumed, by Auxiliary Boiler","Fuel consumed by Auxiliary Boiler, measured in metric tons since last reporting.","n..4,1"
IMO0674,Fuel quantity remaining onboard,"Remaining fuel onboard based on Engine Room log entries, measured in metric tons since last reporting.","n..4,1"
IMO0675,Sludge remaining onboard,"Amount of sludge remaining onboard, measured in metric tons since last reporting.","n..4,1"
IMO0676,Cylinder lube oil remaining onboard,"The cylinder lube oil remaining onboard based on Engine Room log entries, measured in metric tons.","n..4,1"
IMO0677,"Cylinder lube oil, Feed Rate","The rate of feed of lube oil into the cylinder, measured in grams per kilowatt hour (g/kWh).","n..4,1"
IMO0678,"Cylinder lube oil, consumption",Lube oil consumption in grams per hour per unit of output measured in kilowatt of the engine (g/kWh).,"n..4,1"
IMO0679,"Cylinder lube oil, received","Lube oil received during bunkering, measured in metric tons.","n..4,1"
IMO0680,"Fuel type trade name, coded",A code representing the trade name of the fuel.,an..10
IMO0681,Shipper (Consignor) identifier,"The identifier of person or legal entity by whom or on whose behalf, a contract of carriage of goods by sea has been concluded with a carrier, or any person by whom or in whose name, or on whose behalf, the goods are actually delivered to the carrier in relation to the contract of carriage by sea.",an..17
IMO0682,Shipper (Consignor) name,"The name of person or legal entity by whom or on whose behalf, a contract of carriage of goods by sea has been concluded with a carrier, or any person by whom or in whose name, or on whose behalf, the goods are actually delivered to the carrier in relation to the contract of carriage.",an..70
IMO0683,Shipper (Consignor) contact family name,The shipper's (consignor's) employee contact family name.,an..70
IMO0684,Shipper (Consignor) contact given name,The shipper's (consignor's) employee contact given name.,an..70
IMO0685,Shipper (Consignor) email,The email address of the shipper (consignor).,an..50
IMO0686,Shipper (Consignor) landline number,The landline telephone number of the shipper (consignor).,an..50
IMO0687,Shipper (Consignor) mobile number,The mobile number of the shipper (consignor).,an..50
IMO0688,Shipper (Consignor) country code,A code representing the country address of the shipper (consignor).,a2
IMO0689,Shipper (Consignor) street and number,The street and number of the shipper (consignor).,an..256
IMO0690,Shipper (Consignor) city,The city of the shipper (consignor).,an..35
IMO0691,Shipper (Consignor) country sub-division name,The country sub-division of the shipper (consignor).,an..35
IMO0692,Shipper (Consignor) postcode,An alphanumerical code representing the postal area of the shipper (consignor).,an..9
IMO0693,Shipper (Consignor) P.O. Box,The post office box of the shipper (consignor).,an..256
IMO0694,Consignee identifier,The identifier of person or legal entity to whom a cargo is consigned under a contract of carriage or a transport document or electronic transport record.,an..17
IMO0695,Consignee name,The name of person or legal entity to whom a cargo is consigned under a contract of carriage or a transport document or electronic transport record.,an..70
IMO0696,Consignee contact family name,The consignee's employee contact family name.,an..70
IMO0697,Consignor contact given name,The consignee's employee contact given name.,an..70
IMO0698,Consignee email,The email address of the consignee.,an..50
IMO0699,Consignee landline number,The landline telephone number of the consignee.,an..50
IMO0700,Consignee mobile number,The mobile number of the consignee.,an..50
IMO0701,Consignee country code,A code representing the country address of the consignee.,a2
IMO0702,Consignee street and number,The street and number of the consignee.,an..256
IMO0703,Consignee city,The city of the consignee.,an..35
IMO0704,Consignee country sub-division name,The country sub-division of the consignee.,an..35
IMO0705,Consignee postcode,An alphanumerical code representing the postal area of the consignee.,an..9
IMO0706,Consignee P.O. Box,The post office box of the consignee.,an..256
IMO0707,Carrier identifier,The identifier of person or legal entity to whom a cargo is consigned under a contract of carriage or a transport document or electronic transport record.,an..17
IMO0708,Carrier name,The name of person or legal entity to whom a cargo is consigned under a contract of carriage or a transport document or electronic transport record.,an..70
IMO0709,Carrier contact family name,The carrier's employee contact family name.,an..70
IMO0710,Carrier contact given name,The carrier's employee contact given name.,an..70
IMO0711,Carrier email,The email address of the carrier.,an..50
IMO0712,Carrier landline number,The landline telephone number of the carrier.,an..50
IMO0713,Carrier mobile number,The mobile number of the carrier.,an..50
IMO0714,Carrier country code,A code representing the country address of the carrier.,a2
IMO0715,Carrier street and number,The street and number of the carrier.,an..256
IMO0716,Carrier city,The city of the carrier.,an..35
IMO0717,Carrier country sub-division name,The country sub-division of the carrier.,an..35
IMO0718,Carrier postcode,An alphanumerical code representing the postal area of the carrier.,an..9
IMO0719,Carrier P.O. Box,The post office box of the carrier.,an..256
IMO0720,Voyage charter party date,The date used to identify the voyage charter party under which the bill of lading is issued.,an..35
IMO0721,Notify party identifier,"The identifier of person or company to be advised by the carrier upon arrival of the goods at the destination port, as per charter party.",an..17
IMO0722,Notify party name,"The name of person or company to be advised by the carrier upon arrival of the goods at the destination port, as per charter party.",an..70
IMO0723,Notify party contact family name,The notify party's employee contact family name.,an..70
IMO0724,Notify party contact given name,The notify party's employee contact given name.,an..70
IMO0725,Notify party email,The email address of the notify party.,an..50
IMO0726,Notify party landline number,The landline telephone number of the notify party.,an..50
IMO0727,Notify party mobile number,The mobile number of the notify party.,an..50
IMO0728,Notify party country code,A code representing the country address of the notify party.,a2
IMO0729,Notify party street and number,The street and number of the notify party.,an..256
IMO0730,Notify party city,The city of the notify party.,an..35
IMO0731,Notify party country sub-division name,The country sub-division of the notify party.,an..35
IMO0732,Notify party postcode,An alphanumerical code representing the postal area of the notify party.,an..9
IMO0733,Notify party P.O. Box,The post office box of the notify party.,an..256
IMO0734,Bill of Lading reference identifier,A reference number issued on the bill of lading.,an..70
IMO0735,Shipped on Deck description,A description of cargo (and amount of cargo) shipped on deck at shipper's risk.,an..512
IMO0736,Shipped on Deck quantity,The quantity of cargo shipped on deck at shipper's risk.,"n..16,6"
IMO0737,"Bill of Lading issued location, coded",The code representing the location where the Bill of Lading was issued.,an5
IMO0738,Bill of Lading issued date,The date when the bill of lading is issued.,an..35
IMO0739,Number of original Bill of Ladings,Number of original B/L(s) that have been issued.,an..3
IMO0740,Number of Bill of Lading copies,Number of copies of the B/L that have been issued.,an..3
IMO0741,Shipped on board date,The date when the cargo as linked to in the bill of lading is physically on board the ship indicated on the bill of lading.,an..35
IMO0742,Terms and conditions,A description of the general terms and conditions in the transport document.,an..512
IMO0743,Carrier Clauses,"A description of additional clauses for a specific shipment added by the carrier to the bill of lading, subject to local rules/guidelines or certain mandatory information required to be shared with the customer.",an..512
IMO0744,Delivery alongside date time,The date and time when the bunker tanker arrives alongside the receiving vessel.,an..35
IMO0745,Bunker metering ticket number,The mass flow metering ticket number for each bunker delivery.,an..256
IMO0746,"Bunker supply method, coded",A code representing the bunker supply method.,n1
IMO0747,Bunker tanker name,The name of the bunker tanker involved in the bunker delivery process.,an..70
IMO0748,Supplier representative name,The name of the supplier representative  (licensed cargo officer) on duty during the fuel transfer.,an..70
IMO0749,Supplier representative signature date time,Thedate and time of the supplier representative (cargo officer) ’s signature.,an..35
IMO0750,Supplier mobile number,The mobile number for the supplier.,an..50
IMO0751,Supplier country code,A code representing the country address of the supplier.,a2
IMO0752,Supplier street and number,The street and number of the supplier.,an..256
IMO0753,Supplier city,The city of the supplier.,an..35
IMO0754,Supplier country sub-division name,The country sub-division of the notify supplier.,an..35
IMO0755,Supplier postcode,An alphanumerical code representing the postal area of the supplier.,an..9
IMO0756,Supplier P.O. Box,The post office box of the supplier.,an..256
IMO0757,Bunker delivery note issue date,The date when the Bunker Delivery Note (BDN) was issued.,an..35
IMO0758,Delivery location name,The name of the exact location of delivery within the port mentioned in the Delivery field (i.e. Anchorages or berths of operations).,an..256
IMO0759,Bunker fuel flash point,The flash Point of the bunker supplied as from the certificate of quality (COQ) of the bunker cargo loaded (ISO2719) (Celsius).,n..10
IMO0760,Ship representative name,The name of the ship representative (Master or Chief Engineer) onboard the receiving vessel responsible for overseeing the,an..70
IMO0761,Ship representative signature date time,The date and time of the ship representative (Captain or Chief Engineer)’s signature.,an..35
IMO0762,Other requestor party name,Name of other requester sample collected for,an..256
IMO0763,Letter of protest issued indicator,A “yes/no” indicator whether a letter of protest has been issued.,n1
IMO0764,Letter of protest remarks,Remarks related to the letter of protest.,an..256
IMO0765,"Customer Rating, coded",A code representing the customer feedback by the receiving vessels’ Master/Chief Engineer.,n1
IMO0766,Commence pumping date time,The date and time of start of delivery (pump start).,an..35
IMO0767,Complete pumping date time,The date and time of end of delivery (pump stop).,an..35
IMO0768,Delivered quantity,"The total quantity delivered, in metric tons/in cubic meters, is the cumulative mass quantity measured between the start of delivery and end of delivery, and transferred to the vessel at the custody transfer point.","n..10,4"
IMO0769,Bunker supplier remarks,The remarks by bunker supplier.,an..512
IMO0770,Bunker tanker license number,The local license number of delivery bunker tanker.,an..10
IMO0771,Safety Data Sheet Received indicator,A “yes/no” indicator whether the Safety Data Sheet (SDS) for the fuel was provided to the receiving vessel.,n1
IMO0772,Sulphur purchaser limit,The specific sulphur limit of the bunker fuel required by purchaser.,n..10
IMO0773,Bunker supplier company identification number,The unique identifier of the bunker supplier company.,an..35
IMO0774,Bunker supplier licence number,The supplier's licence number issued by local authority.,n..10
IMO0775,Bunker supplier name,The name of the bunker supplier which is licensed by implementing authority.,n..70
IMO0776,Bunker supply declaration description,"A description of the declaration that bunker fuel supplied conforms with MARPOL Annex VI. A formal declaration provided by the bunker supplier confirming that the bunker fuel supplied complies with the relevant regulations and standards, including adherence to MARPOL Annex VI requirements regarding emissions and fuel quality specifications.",an..512
IMO0777,Bunker tanker retained sample counter seal,"The 3rd party (e.g. surveyor) counter seal numbers applied on the sample bottles, retained by bunker tanker.",an..256
IMO0778,Bunker tanker retained sample seal,"The supplier seal numbers applied on the sample bottles, retained by bunker tanker.",an..256
IMO0779,MARPOL sample counter seal number,"The 3rd party (e.g. surveyor) counter seal numbers applied on the sample bottles, retained as MARPOL sample.",an..256
IMO0780,MARPOL sample seal number,"The supplier seal numbers applied on the sample bottles, retained as MARPOL sample.",an..256
IMO0781,Other retained sample counter seal,"The 3rd party (e.g. surveyor) counter seal numbers applied on the sample bottles, retained by others.",an..256
IMO0782,Other retained sample seal,"The supplier seal numbers applied on the sample bottles, retained by others.",an..256
IMO0783,Surveyor retained sample counter seal,"The 3rd party (e.g. surveyor) counter seal numbers applied on the sample bottles, retained by surveyor.",an..256
IMO0784,Surveyor retained sample seal,"The supplier seal numbers applied on the sample bottles, retained by surveyor.",an..256
IMO0785,Vessel retained sample counter seal,"The 3rd party (e.g. surveyor) counter seal numbers applied on the sample bottles, retained by vessel.",an..256
IMO0786,Vessel retained sample seal,"The supplier seal numbers applied on the sample bottles, retained by vessel.",an..256
IMO0787,Fuel bunker certificate of quality (COQ) reference,The identifier reference to the certificate of quality related to the actual test results on the product that will be delivered.,an..70
IMO0788,Fuel bunker temperature,The temperature of the fuel bunkers in the bunker tanker / supplying barge. Measured in degree Celsius. (Numeric value with two decimals).,"n..7,2"
IMO0789,Fuel bunker pour point,The lowest temperature at which the fuel stop to flow. The pour point determines the minimum temperature required for storage and handling onboard of fuel oil products. Measured in degree Celsius. (Numeric value with two decimals).,"n..7,2"
IMO0790,Fuel bunker pumping rate,"The maximum pumping rate of the fuel being supplied by the bunker barge. Measurement is cubic meters per hour, or metric tonne per hour. (Numeric field, integer).","n..16,6"
IMO0791,"Fuel bunker measuring type, coded",A code representing the type of the system engaged by the Bunker Barge for measuring the flow in order to calculate the quantity of fuel bunkers supplied.,n1
IMO0792,"Fuel bunker supply type, coded","A code representing whether the fuel is intended to be used domestically or not, by the receiving ship.",n1
IMO0793,Fuel bunker procurement order ID,The identifier reference to the fuel bunker procurement document.,an..17
IMO0794,Bunker barge cast-off date time,The date and time indicating when the bunker barge is sailing away from the receiving ship once bunkering is completed.,an..35
IMO0795,"Fuel bunker sampling location, coded",A code representing the location of where the MARPOL sample(s) has/have been taken; either at the fuel barge/tanker or at the receiving ships manifold.,n1
IMO0796,DPG list on board indicator,A yes/no indicator whether a list or manifest or appropriate stowage plan giving details of the dangerous goods or marine pollutants (DGP) carried and of their location on the ship is on board.,n1
IMO0797,"Cargo operation, coded","A code representing an indication of whether cargo will be loaded, unloaded or will remain on board (transit) at a location in the port.",an..3
IMO0798,"Dangerous goods segregation group, coded",A code identifying the segregation group of the dangerous good item as defined in the IMDG code.,an..17
IMO0799,Limited quantities indicator,A yes/no indicator whether the dangerous goods are packed in small quantities.,n1
IMO0800,"Cargo, viscosity",A measure of the viscosity of the cargo in millipascal-second (mPa.s).,"n..16,6"
IMO0801,"Cargo, melting point",A measure of the melting point of the cargo in degrees Celsius.,"n..8,2"
IMO0802,"Cargo, discharge temperature",A measure of the temperature at which the cargo is discharged in degrees Celsius.,"n..8,2"
IMO0803,Class 7 nuclide name,The radio nuclide name of a class 7 product (IMDG Code).,an..256
IMO0804,"Class 7 category, coded",A code representing the category of Class 7 product (IMDG Code).,n..3
IMO0805,Radioactive index of transport,A measure of the maximum radiation level at a distance of 1m from the external surface in units of becquerels (Bq).,"n..16,6"
IMO0806,Radioactive criticality safety index,"A number, assigned to fissile material i.e. material capable of sustaining a nuclear chain reaction, which is used to provide control over the accumulation of packages containing such material.","n..16,6"
IMO0807,Class 7 maximum activity,A measure of the maximum activity of class 7 product (IMDG Code) in units of becquerels (Bq).,"n..16,6"
IMO0808,Net explosive mass,The mass of the explosive part or substance of goods without any packing in kilograms (kg).,"n..16,6"
IMO0809,"Transport equipment full or empty indicator, coded",A code indicating whether the transport equipment is full or empty.,an..3
IMO0810,"Tank status, coded",A code specifying if a tank container or tank contains goods or not and what the atmosphere in the tank container or tank is.,an..17
IMO0811,Fumigated bulk cargo holds indicator,A “yes/no” indicator whether the specified cargo hold or tank is fumigated,n1
IMO0812,"Empty tank last cargo hazard class, coded",A code representing the IMO hazard class of the last dangerous goods or polluting cargo carried in the particular empty tank.,an..7
IMO0813,Empty tank last dangerous cargo name,The proper shipping name of the last dangerous or polluting cargo carried in the particular empty tank.,an..256
IMO0814,"Empty tank last cargo marine pollutant type, coded",A code representing the type of marine pollutant properties for the last dangerous or polluting cargo carried in the particular empty tank from the IMO IMDG Code or IBC Code / MARPOL Convention.,an..3
IMO0815,Fumigant name,The chemical or technical name of the fumigant used.,an..256
IMO0816,Fumigation date,The date when the cargo was fumigated.,an..35
IMO0817,"Fumigation location, coded",The place or port where the cargo was fumigated.,an5
IMO0818,Fumigation method description,"The method used for fumigation e.g. sleeves, pills.",an..256
IMO0819,Fumigation ventilated indicator,A “yes/no” indicator whether the cargo hold has been ventilated after treatment with a fumigating substance.,n1
IMO0820,Fumigation gas check indicator,A “yes/no” indicator whether the referenced cargo tank or hold has been checked for the presence of a fumigation gas prior to arrival.,n1
IMO0821,Fumigation gas particle measure,A measure of the value in particle volume per million for a location with fumigation gas.,"n..16,6"
IMO0822,"Sealing party role, coded",The code specifying the role of the sealing party.,an..3
IMO0823,Seal party name,The name of the sealing party.,an..70
IMO0824,"Resealing party role, coded",The code specifying the role of the resealing party.,an..3
IMO0825,Reseal party name,The name of the resealing party.,an..70
IMO0826,Resealing date time,The date and time when the container was resealed.,an..35
IMO0827,Seal condition,The code identifying the condition of the container seal at its time of inspection.,an..3
IMO0828,CIP inspection results issue date time,The date and time the CIP inspection results were issued.,an..35
IMO0829,CIP inspection applicant name,The name of the applicant of the CIP inspection.,an..35
IMO0830,CIP inspection applicant street and number,The street and number of the applicant of the CIP inspection.,an..35
IMO0831,CIP inspection applicant postcode,The postcode of the applicant of the CIP inspection.,an..9
IMO0832,CIP inspection applicant contact name,Either name of the individual or their department name for the purpose of communication.,an..70
IMO0833,CIP inspection applicant contact identifier,"Identifier for the type of means of communication of the applicant. E.g. mail, fax, cell phone, etc.",an..3
IMO0834,CIP inspection applicant email,The email address for the referenced CIP inspection applicant.,an..50
IMO0835,CIP inspection applicant landline number,The landline telephone number for the referenced CIP inspection applicant.,an..50
IMO0836,CIP inspection applicant mobile number,The mobile number for the referenced CIP inspection applicant.,an..50
IMO0837,Undeclared Dangerous Goods number of packages,Number of packages reported as undeclared dangerous goods in the referenced transport equipment unit.,n..8
IMO0838,Misdeclared Dangerous Goods number of packages,Number of packages identified as misdeclared dangerous goods in the corresponding transport equipment unit.,n..8
IMO0839,"CTU Inspection deficiency type, coded",Type(s) of deficiencies identified by the CTU inspector during the inspection of the CTU.,an7
IMO0840,CTU Inspection deficiency found indicator,A “yes/no” indicator whether deficiencies are found in the CTU inspection.,n1
IMO0841,Detection result of dangerous goods,Detection result description of dangerous goods.,an..256
IMO0842,Dangerous goods identified by UNDG indicator,"A ""yes/no"" indicator whether dangerous goods are identified by the UNDG number.",n1
IMO0843,Dangerous goods handling remarks,Additional handling information of the dangerous goods.,an..256
IMO0844,"CIP inspection method, coded",The code identifying whether the inspection was conducted manually or with an automatic system.,n1
IMO0845,"Agency responsible for inspection system, coded",The code identifying the agency responsible for the inspection system.,an..3
IMO0846,Agency responsible for CIP inspection contact name,The contact name of the agency responsible for CIP inspection.,an..35
IMO0847,Agency responsible for CIP inspection street and number,The street and number of the agency responsible for CIP inspection.,an.70
IMO0848,Inspection system name,The name of the system utilized to conduct inspection.,an..17
IMO0849,Document attached Information,Description of attached documents submitted or handled with the corresponding inspection certificate.,an..512
IMO0850,CIP deficiency report content,Actual content of the deficiency report detailing the non-compliance and required corrective actions.,Binary object
IMO0851,"Location of pest contamination found, coded",A code representing the location of the pest contamination found.,n1
IMO0852,"Type of pest contamination found, coded",A code representing the type of pest contamination found.,n1
IMO0853,Type of pest contamination found description,"A description of the type of pest contamination found on a ""best effort"" basis.",an..256
IMO0854,"Fuel, Total GHG intensity (IMO), annually","The amount of CO2 equivalent emissions produced per fuel annually, measured as grams of CO2 equivalent emitted per Megajoule (gCO2eq/MJ).",n..10
IMO0855,"Fuel, GHG intensity (IMO), per voyage","The amount of CO2 equivalent emissions produced per fuel per voyage, measured as grams of CO2 equivalent emitted per Megajoule (gCO2eq/MJ).",n..10
IMO0856,"Inbound Port jurisdiction, coded",Reporting jurisdiction covering the arriving port for ship voyage. This is used to define the mandatory reporting requirements  related to ship emissions  for different voyages.,an..5
IMO0857,"Outbound Port jurisdiction, coded",Reporting jurisdiction covering the departure port for the ship voyage. This is used to define the mandatory reporting requirements related to ship emissions for different voyages.,an..5
IMO0858,Total distance on sea passage,"Total distance, over ground, from port to port, measured in nautical miles.","n..4,1"
IMO0859,"Ship type MARPOL Annex VI, coded",A code representing the ship type as defined in MARPOL Annex VI.,an3
IMO0860,Laden indicator,A “yes/no” indicator whether the ship is laden at the time of reporting.,n1
IMO0861,Distance excluded,The distance which must be excluded for reporting correction. Over ground distance measured in nautical miles.,"n..4,1"
IMO0862,Off hire Reasons,A description of why the ship is off hire at the time of reporting.,an..512
IMO0863,Number of reefer sockets in use,The total number of reefer power sockets in use during the voyage.,n..5
IMO0864,Number of chilled 20 ft reefer containers,The total count of 40-foot containers onboard that are filled with chilled or refrigerated goods.,n..5
IMO0865,Number of chilled 40 ft reefer containers,The total count of 40-foot containers onboard that are filled with chilled or refrigerated goods.,n..5
IMO0866,Number of frozen 20 ft reefer containers,The total count of 20-foot containers onboard that are filled with frozen goods.,n..5
IMO0867,Number of frozen 40 ft reefer containers,The total count of 40-foot containers onboard that are filled with frozen goods.,n..5
IMO0868,Electrical work generated for Cargo Cooling,"Electrical power generated for Cargo Cooling, measured in kilowatt-hours.",n..10
IMO0869,Electrical work generated for discharge pump,"Electrical power generated for Discharge Pump, measured in kilowatt-hours.",n..10
IMO0870,Electrical work generated for reefer containers,"Electrical power generated for Reefer Containers, measured in kilowatt-hours.",n..10
IMO0871,Electrical work received from On Shore Power Supply,"Amount of electrical power received from on-shore power supply when in port, measured in kilowatt-hours.",n..10
IMO0872,Electrical work received from zero emissions technologies,"Amount of electrical power received from zero emissions technologies (solar panels etc), measured in kilowatt-hours.",n..10
IMO0873,"Fuel type used for electrical work generated for cargo cooling, coded",A code representing the type of fuel used for the power generation.,n..10
IMO0874,"Fuel type used for electrical work generated for disharge pump, coded",A code representing the type of fuel used for the power generation.,n..10
IMO0875,"Fuel type used for electrical work generated for reefers container, coded",A code representing the type of fuel used for the power generation.,n..10
IMO0876,Specific fuel oil consumption for electrical work generated for cargo cooling,"A measure of the specific fuel oil consumption of the systems used for generating the electrical power for the Cargo Cooling, measured in grams of fuel consumed per kilowatt-hour (g/kWh).",n..5
IMO0877,Specific fuel oil consumption for electrical work generated for discharge pump,"A measure of the specific fuel oil consumption of the systems used for generating the electrical power for the Discharge Pump, measured in grams of fuel consumed per kilowatt-hour (g/kWh).",n..5
IMO0878,Specific fuel oil consumption for electrical work generated for cargo reefers,"A measure of the specific fuel oil consumption of the systems used for generating the electrical power for the Reefer Containers, measured in grams of fuel consumed per kilowatt-hour (g/kWh).",n..5
IMO0879,"Performance report type, coded",A code indicating the type of performance report.,an..3
IMO0880,"Fuel Lower Calorific Value reporting scheme, coded","A code list of reporting schemes which are using the lower calorific value, which may differ depending of the reporting scheme.",an..6
IMO0881,"Fuel, lower calorific value (LCV)","The absolute quantity of energy released after burning a unit mass of fuel, measured in megajoules per kilogram.",tbd
IMO0882,"Fuel, Proof of Sustainability reference","Reference number from certification confirming that fuel received complies with GHG intensity limit under FuelEU regulations. Required for all ships over 5,000 gross tonnage calling at EU ports, regardless of flag state.",an..256
IMO0883,"Total CO2, including equivalent","The total amount of Carbon Dioxide refers to the comprehensive sum of CO2, including its equivalents derived from all emissions (but without deducting the CO2 equivalent captured), quantified in metric tons of CO2 equivalent.","n...4,1"
IMO0884,Percentage of Total CO2 emitted at sea,"Proportion of Carbon Dioxide emissions that are emitted while at sea, taking into account the amount that is successfully captured, measured in percentage.",n..3
IMO0885,Total CO2 (tank-to-wake),"Total amount of Carbon Dioxide from fuels (tank-to-wake), measured in metric tons.","n...4,1"
IMO0886,Total CO2 equivalent Captured,"Total amount of Carbon Dioxide equivalent captured, measured in metric tons.","n...4,1"
IMO0887,Total CH4,"Total aggregated amount of Methane emitted, measured in metric tons.","n...4,1"
IMO0888,Total CH4 converted to CO2,"The CO2 equivalent converted from CH4 emissions, measured in metric tons of CO2 equivalent.","n...4,1"
IMO0889,Total N2O,"Total aggregated amount of Nitrous Oxide emitted, measured in metric tons.","n...4,1"
IMO0890,Total N20 converted to CO2,"The CO2 equivalent converted from N20 emissions, measured in metric tons of CO2 equivalent.","n...4,1"
IMO0891,CH4 emission conversion factor (Methane),"Emission conversion factor, expressed in emissions per metric per gram (gCH4/gFuel).","n..4,1"
IMO0892,N2O emission conversion factor (Nitrous Oxide),"Emission conversion factor, expressed in emissions per metric per gram (gN2O/gFuel).","n..4,1"
IMO0893,"Fuel consumed, by Auxiliary Engine","Fuel consumed by Auxiliary Engine, measured in metric tons since last reporting.","n..4,1"
IMO0894,"Fuel consumed, by Cargo Cooling","Fuel consumed by Cargo Cooling, measured in metric tons since last reporting.","n..4,1"
IMO0895,"Fuel consumed, by Cargo Heating","Fuel consumed by Cargo Heating, measured in metric tons since last reporting.","n..4,1"
IMO0896,"Fuel consumed, by Diesel Power Packs","Fuel consumed by Diesel Power Packs, measured in metric tons since last reporting.","n..4,1"
IMO0897,"Fuel consumed, by Dirty Petroleum Products Cargo Pump","Fuel consumed by Dirty Petroleum Products Cargo Pump, measured in metric tons since last reporting.","n..4,1"
IMO0898,"Fuel consumed, by Discharge Pump","Fuel consumed by Discharge Pump, measured in metric tons since last reporting.","n..4,1"
IMO0899,"Fuel consumed, by DP Operations","Fuel consumed by DP Operations, measured in metric tons since last reporting.","n..4,1"
IMO0900,"Fuel consumed, by Electrical Power Generation","Fuel consumed by Electrical Power Generation, measured in metric tons since last reporting.","n..4,1"
IMO0901,"Fuel consumed, by Incinerator","Fuel consumed by Incinerator, measured in metric tons since last reporting.","n..4,1"
IMO0902,"Fuel consumed, by Inert gas generators / GCUs","Fuel consumed by Inert gas generators / GCUs, measured in metric tons since last reporting.","n..4,1"
IMO0903,"Fuel consumed, by Other Fuel Consuming Devices","Fuel consumed by Other Fuel Consuming Devices, measured in metric tons since last reporting.","n..4,1"
IMO0904,"Fuel consumed, by Reefer Containers","Fuel consumed by Reefer Containers, measured in metric tons since last reporting.","n..4,1"
IMO0905,"Fuel consumed, by Shuttle Tanker Operations","Fuel consumed by Shuttle Tanker Operations, measured in metric tons since last reporting.","n..4,1"
IMO0906,"Fuel consumed, by STS Operations","Fuel consumed by STS Operations, measured in metric tons since last reporting.","n..4,1"
IMO0907,"Fuel used by Main Engine, coded",A code representing the type of fuel used for the operation.,n..10
IMO0908,"Fuel consumed by Main Engine, by fuel type","Fuel consumed by Main Engine, measured in metric tons since last reporting.","n..4,1"
IMO0909,"Fuel used by Diesel Electric Propulsion, coded",A code representing the type of fuel used for the operation.,n..10
IMO0910,"Fuel consumed by Diesel Electric Propulsion, by fuel type","Fuel consumed by diesel electric propulsion, measured in metric tons since last reporting.","n..4,1"
IMO0911,"Fuel used by Diesel Generator, coded",A code representing the type of fuel used for the operation.,n..10
IMO0912,"Fuel consumed by Diesel Generator, by fuel type","Fuel consumed by Diesel Generator, measured in metric tons since last reporting.","n..4,1"
IMO0913,"Fuel used by Auxillary Boiler, coded",A code representing the type of fuel used for the operation.,n..10
